Years,x20_min,rank,Probability,Frequency
"2016-2017",75,1,6.25,16
"2019-2020",59.1,2,12.5,8
"2015-2016",58.2,3,18.75,5.33333333333333
"2017-2018",53.7,4,25,4
"2010-2011",53.4,5,31.25,3.2
"2009-2010",52.2,6,37.5,2.66666666666667
"2011-2012",51.6,7,43.75,2.28571428571429
"2007-2008",48.9,8,50,2
"2012-2013",48.3,9,56.25,1.77777777777778
"2020-2021",43.2,10,62.5,1.6
"2021-2022",38.7,11,68.75,1.45454545454545
"2018-2019",36.9,12,75,1.33333333333333
"2013-2014",36,13,81.25,1.23076923076923
"2008-2009",33.6,14,87.5,1.14285714285714
"2014-2015",33.3,15,93.75,1.06666666666667
