Years,x50_min,rank,Probability,Frequency
"2020-2021",20.64,1,4.54545454545455,22
"2011-2012",20.16,2,9.09090909090909,11
"2017-2018",20.16,3,13.6363636363636,7.33333333333333
"2003-2004",18.84,4,18.1818181818182,5.5
"2009-2010",18.6,5,22.7272727272727,4.4
"2012-2013",16.92,6,27.2727272727273,3.66666666666667
"2015-2016",16.08,7,31.8181818181818,3.14285714285714
"2005-2006",15.6,8,36.3636363636364,2.75
"2008-2009",15.24,9,40.9090909090909,2.44444444444444
"2014-2015",15.24,10,45.4545454545455,2.2
"2021-2022",14.76,11,50,2
"2002-2003",13.68,12,54.5454545454545,1.83333333333333
"2016-2017",13.68,13,59.0909090909091,1.69230769230769
"2001-2002",13.56,14,63.6363636363636,1.57142857142857
"2013-2014",12.6,15,68.1818181818182,1.46666666666667
"2004-2005",12.24,16,72.7272727272727,1.375
"2019-2020",12.12,17,77.2727272727273,1.29411764705882
"2007-2008",11.28,18,81.8181818181818,1.22222222222222
"2018-2019",11.28,19,86.3636363636364,1.15789473684211
"2006-2007",10.32,20,90.9090909090909,1.1
"2010-2011",8.88,21,95.4545454545455,1.04761904761905
